UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  1 May27 ?        04:49:16 /usr/lib/systemd/systemd --switched-root --system --deserialize 31
root           2       0  0 May27 ?        00:02:43 [kthreadd]
root           3       2  0 May27 ?        00:00:00 [rcu_gp]
root           4       2  0 May27 ?        00:08:56 [rcu_par_gp]
root           5       2  0 May27 ?        00:00:00 [slub_flushwq]
root           6       2  0 May27 ?        00:00:00 [netns]
root           8       2  0 May27 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 May27 ?        00:00:03 [mm_percpu_wq]
root          12       2  0 May27 ?        00:00:00 [rcu_tasks_kthre]
root          13       2  0 May27 ?        00:00:00 [rcu_tasks_rude_]
root          14       2  0 May27 ?        00:00:00 [rcu_tasks_trace]
root          15       2  0 May27 ?        00:21:44 [ksoftirqd/0]
root          16       2  2 May27 ?        10:49:54 [rcu_preempt]
root          17       2  0 May27 ?        00:02:56 [migration/0]
root          18       2  0 May27 ?        00:00:00 [idle_inject/0]
root          20       2  0 May27 ?        00:00:00 [cpuhp/0]
root          21       2  0 May27 ?        00:00:00 [cpuhp/1]
root          22       2  0 May27 ?        00:00:00 [idle_inject/1]
root          23       2  0 May27 ?        00:02:15 [migration/1]
root          24       2  0 May27 ?        00:13:18 [ksoftirqd/1]
root          26       2  0 May27 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 May27 ?        00:00:00 [cpuhp/2]
root          28       2  0 May27 ?        00:00:00 [idle_inject/2]
root          29       2  0 May27 ?        00:02:00 [migration/2]
root          30       2  0 May27 ?        00:10:05 [ksoftirqd/2]
root          32       2  0 May27 ?        00:00:00 [kworker/2:0H-events_highpri]
root          33       2  0 May27 ?        00:00:00 [cpuhp/3]
root          34       2  0 May27 ?        00:00:00 [idle_inject/3]
root          35       2  0 May27 ?        00:01:45 [migration/3]
root          36       2  0 May27 ?        00:09:38 [ksoftirqd/3]
root          38       2  0 May27 ?        00:00:00 [kworker/3:0H-events_highpri]
root          39       2  0 May27 ?        00:00:00 [cpuhp/4]
root          40       2  0 May27 ?        00:00:00 [idle_inject/4]
root          41       2  0 May27 ?        00:01:31 [migration/4]
root          42       2  0 May27 ?        00:09:03 [ksoftirqd/4]
root          44       2  0 May27 ?        00:00:00 [kworker/4:0H-events_highpri]
root          45       2  0 May27 ?        00:00:00 [cpuhp/5]
root          46       2  0 May27 ?        00:00:00 [idle_inject/5]
root          47       2  0 May27 ?        00:01:23 [migration/5]
root          48       2  0 May27 ?        00:08:57 [ksoftirqd/5]
root          50       2  0 May27 ?        00:00:00 [kworker/5:0H-events_highpri]
root          51       2  0 May27 ?        00:00:00 [cpuhp/6]
root          52       2  0 May27 ?        00:00:00 [idle_inject/6]
root          53       2  0 May27 ?        00:01:24 [migration/6]
root          54       2  0 May27 ?        00:08:42 [ksoftirqd/6]
root          56       2  0 May27 ?        00:00:00 [kworker/6:0H-events_highpri]
root          57       2  0 May27 ?        00:00:00 [cpuhp/7]
root          58       2  0 May27 ?        00:00:00 [idle_inject/7]
root          59       2  0 May27 ?        00:01:25 [migration/7]
root          60       2  0 May27 ?        00:08:56 [ksoftirqd/7]
root          62       2  0 May27 ?        00:00:00 [kworker/7:0H-events_highpri]
root          63       2  0 May27 ?        00:00:00 [cpuhp/8]
root          64       2  0 May27 ?        00:00:00 [idle_inject/8]
root          65       2  0 May27 ?        00:03:06 [migration/8]
root          66       2  0 May27 ?        00:09:40 [ksoftirqd/8]
root          68       2  0 May27 ?        00:00:00 [kworker/8:0H-events_highpri]
root          69       2  0 May27 ?        00:00:00 [cpuhp/9]
root          70       2  0 May27 ?        00:00:00 [idle_inject/9]
root          71       2  0 May27 ?        00:02:15 [migration/9]
root          72       2  0 May27 ?        00:08:32 [ksoftirqd/9]
root          74       2  0 May27 ?        00:00:00 [kworker/9:0H-events_highpri]
root          75       2  0 May27 ?        00:00:00 [cpuhp/10]
root          76       2  0 May27 ?        00:00:00 [idle_inject/10]
root          77       2  0 May27 ?        00:01:52 [migration/10]
root          78       2  0 May27 ?        00:13:37 [ksoftirqd/10]
root          80       2  0 May27 ?        00:00:00 [kworker/10:0H-events_highpri]
root          81       2  0 May27 ?        00:00:00 [cpuhp/11]
root          82       2  0 May27 ?        00:00:00 [idle_inject/11]
root          83       2  0 May27 ?        00:02:11 [migration/11]
root          84       2  0 May27 ?        02:36:07 [ksoftirqd/11]
root          86       2  0 May27 ?        00:00:00 [kworker/11:0H-events_highpri]
root          87       2  0 May27 ?        00:00:00 [cpuhp/12]
root          88       2  0 May27 ?        00:00:00 [idle_inject/12]
root          89       2  0 May27 ?        00:01:26 [migration/12]
root          90       2  0 May27 ?        00:08:04 [ksoftirqd/12]
root          92       2  0 May27 ?        00:00:00 [kworker/12:0H-events_highpri]
root          93       2  0 May27 ?        00:00:00 [cpuhp/13]
root          94       2  0 May27 ?        00:00:00 [idle_inject/13]
root          95       2  0 May27 ?        00:01:17 [migration/13]
root          96       2  0 May27 ?        00:07:47 [ksoftirqd/13]
root          98       2  0 May27 ?        00:00:00 [kworker/13:0H-events_highpri]
root          99       2  0 May27 ?        00:00:00 [cpuhp/14]
root         100       2  0 May27 ?        00:00:00 [idle_inject/14]
root         101       2  0 May27 ?        00:01:15 [migration/14]
root         102       2  0 May27 ?        00:08:07 [ksoftirqd/14]
root         104       2  0 May27 ?        00:00:00 [kworker/14:0H-events_highpri]
root         105       2  0 May27 ?        00:00:00 [cpuhp/15]
root         106       2  0 May27 ?        00:00:00 [idle_inject/15]
root         107       2  0 May27 ?        00:01:13 [migration/15]
root         108       2  0 May27 ?        00:07:52 [ksoftirqd/15]
root         110       2  0 May27 ?        00:00:00 [kworker/15:0H-events_highpri]
root         111       2  0 May27 ?        00:00:00 [cpuhp/16]
root         112       2  0 May27 ?        00:00:00 [idle_inject/16]
root         113       2  0 May27 ?        00:02:30 [migration/16]
root         114       2  0 May27 ?        00:09:13 [ksoftirqd/16]
root         116       2  0 May27 ?        00:00:00 [kworker/16:0H-events_highpri]
root         117       2  0 May27 ?        00:00:00 [cpuhp/17]
root         118       2  0 May27 ?        00:00:00 [idle_inject/17]
root         119       2  0 May27 ?        00:01:52 [migration/17]
root         120       2  0 May27 ?        00:08:53 [ksoftirqd/17]
root         122       2  0 May27 ?        00:00:00 [kworker/17:0H-events_highpri]
root         123       2  0 May27 ?        00:00:00 [cpuhp/18]
root         124       2  0 May27 ?        00:00:00 [idle_inject/18]
root         125       2  0 May27 ?        00:01:51 [migration/18]
root         126       2  0 May27 ?        00:41:36 [ksoftirqd/18]
root         128       2  0 May27 ?        00:00:00 [kworker/18:0H-events_highpri]
root         129       2  0 May27 ?        00:00:00 [cpuhp/19]
root         130       2  0 May27 ?        00:00:00 [idle_inject/19]
root         131       2  0 May27 ?        00:01:29 [migration/19]
root         132       2  0 May27 ?        00:08:09 [ksoftirqd/19]
root         134       2  0 May27 ?        00:00:00 [kworker/19:0H-events_highpri]
root         135       2  0 May27 ?        00:00:00 [cpuhp/20]
root         136       2  0 May27 ?        00:00:00 [idle_inject/20]
root         137       2  0 May27 ?        00:01:31 [migration/20]
root         138       2  0 May27 ?        00:17:00 [ksoftirqd/20]
root         140       2  0 May27 ?        00:00:00 [kworker/20:0H-events_highpri]
root         141       2  0 May27 ?        00:00:00 [cpuhp/21]
root         142       2  0 May27 ?        00:00:00 [idle_inject/21]
root         143       2  0 May27 ?        00:01:24 [migration/21]
root         144       2  0 May27 ?        00:08:12 [ksoftirqd/21]
root         146       2  0 May27 ?        00:00:00 [kworker/21:0H-events_highpri]
root         147       2  0 May27 ?        00:00:00 [cpuhp/22]
root         148       2  0 May27 ?        00:00:00 [idle_inject/22]
